owner,age,name,selling_price,km_driven,fuel_Diesel,fuel_Petrol,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Automatic,transmission_Manual,fule_Other
1.0,3,923,310000,28000,0,1,1,0,0,0,1,0
1.0,5,1009,665000,46000,1,0,1,0,0,0,1,0
1.0,7,583,465000,70000,1,0,1,0,0,0,1,0
2.0,9,814,160000,60000,0,1,0,1,0,0,1,0
2.0,25,647,250000,35000,1,0,0,1,0,0,1,0
1.0,7,321,675000,90000,1,0,1,0,0,0,1,0
1.0,8,1048,300000,80000,0,1,1,0,0,0,1,0
1.0,16,1217,70000,80000,1,0,0,1,0,0,1,0
2.0,7,402,240000,73300,0,1,1,0,0,0,1,0
1.0,7,1370,525000,92000,1,0,1,0,0,0,1,0
2.0,12,814,151000,66764,0,1,1,0,0,0,1,0
1.0,12,814,140000,100000,0,1,0,1,0,0,1,0
2.0,11,99,280000,350000,1,0,0,1,0,0,1,0
1.0,10,1356,350000,230000,1,0,0,1,0,0,1,0
1.0,4,677,570000,60000,1,0,0,1,0,0,1,0
1.0,3,402,300000,31000,0,1,0,1,0,0,1,0
1.0,14,1251,100000,39000,1,0,0,1,0,0,1,0
3.0,12,1414,500000,120000,1,0,0,1,0,0,1,0
4.0,7,1235,125000,166000,1,0,0,1,0,0,1,0
3.0,15,954,130000,110000,0,1,0,1,0,0,1,0
1.0,4,154,925000,35000,1,0,0,1,0,0,1,0
1.0,3,848,750000,60000,1,0,0,1,0,0,1,0
2.0,14,341,200000,54000,0,1,0,1,0,1,0,0
2.0,11,563,248000,63000,0,1,0,1,0,0,1,0
2.0,7,1185,450000,120000,1,0,0,1,0,0,1,0
3.0,16,426,80000,120000,0,1,0,1,0,0,1,0
2.0,7,1120,650000,76000,0,1,0,1,0,0,1,0
1.0,6,447,450000,80000,1,0,0,1,0,0,1,0
1.0,2,413,650000,25000,1,0,0,1,0,0,1,0
1.0,5,270,495000,11958,0,1,1,0,0,0,1,0
1.0,6,292,371000,20000,0,1,1,0,0,0,1,0
1.0,4,388,1025000,9000,0,1,1,0,0,0,1,0
1.0,6,755,750000,70000,1,0,0,1,0,0,1,0
1.0,8,1138,600000,120000,1,0,0,1,0,0,1,0
2.0,14,487,80000,58000,0,1,1,0,0,0,1,0
1.0,8,625,325000,62200,1,0,1,0,0,0,1,0
2.0,7,13,1470000,34000,1,0,1,0,0,1,0,0
2.0,6,121,350000,53000,1,0,0,1,0,0,1,0
1.0,8,16,2800000,49000,1,0,1,0,0,1,0,0
2.0,4,113,210000,15000,0,1,1,0,0,0,1,0
1.0,8,1440,450000,50000,0,1,0,1,0,0,1,0
1.0,8,5,1150000,53000,1,0,1,0,0,1,0,0
1.0,12,341,210000,63500,0,1,1,0,0,1,0,0
1.0,3,1088,4500000,9800,0,1,1,0,0,1,0,0
1.0,4,36,2750000,13000,1,0,0,1,0,1,0,0
1.0,3,1487,1975000,21000,1,0,1,0,0,1,0,0
1.0,13,948,175000,29173,0,1,1,0,0,0,1,0
1.0,9,33,2500000,48000,1,0,1,0,0,1,0,0
1.0,4,637,628000,120000,1,0,0,1,0,0,1,0
1.0,11,492,600000,100000,1,0,0,1,0,0,1,0
1.0,4,1106,399000,30000,0,1,0,1,0,0,1,0
1.0,3,762,750000,87000,1,0,0,1,0,0,1,0
1.0,2,420,750000,15000,0,1,0,1,0,0,1,0
1.0,4,1154,315000,16000,0,1,0,1,0,0,1,0
1.0,9,767,600000,60000,1,0,0,1,0,0,1,0
4.0,11,1041,100000,60000,0,1,0,1,0,0,1,0
3.0,10,947,250000,110000,0,1,0,1,0,0,1,0
1.0,4,1154,350000,25000,0,1,0,1,0,0,1,0
1.0,5,375,780000,60000,1,0,0,1,0,0,1,0
2.0,7,971,434000,79350,1,0,0,1,0,0,1,0
1.0,5,511,690000,80000,0,1,0,1,0,1,0,0
2.0,7,687,555000,90000,1,0,0,1,0,0,1,0
2.0,14,942,120000,90000,0,1,0,1,0,0,1,0
2.0,7,883,500000,120000,1,0,0,1,0,0,1,0
2.0,8,50,165000,60000,1,0,0,1,0,0,1,0
1.0,17,1070,95000,50000,0,1,0,1,0,0,1,0
1.0,3,823,550000,20000,0,1,0,1,0,0,1,0
4.0,14,1005,100000,110000,1,0,0,1,0,0,1,0
2.0,9,1283,100000,50000,0,1,0,1,0,0,1,0
1.0,9,1408,500000,100000,1,0,0,1,0,0,1,0
2.0,5,880,800000,70000,1,0,0,1,0,0,1,0
2.0,5,380,840000,70000,1,0,0,1,0,0,1,0
1.0,5,271,490000,50000,0,1,0,1,0,0,1,0
2.0,11,1228,125000,81000,1,0,0,1,0,0,1,0
3.0,9,92,400000,120000,1,0,0,1,0,0,1,0
1.0,6,63,1000000,3600,1,0,1,0,0,0,1,0
1.0,6,221,530000,14272,0,1,1,0,0,0,1,0
1.0,4,155,840000,49213,1,0,1,0,0,0,1,0
1.0,6,562,229999,40000,0,1,0,1,0,0,1,0
4.0,23,782,40000,40000,0,1,0,1,0,0,1,0
1.0,9,85,130000,80000,0,1,0,1,0,0,1,0
1.0,6,396,200000,70000,0,1,0,1,0,0,1,0
1.0,10,1229,120000,70000,1,0,0,1,0,0,1,0
1.0,18,465,75000,57000,0,1,0,1,0,0,1,0
1.0,5,1206,250000,120000,1,0,0,1,0,0,1,0
1.0,16,777,100000,30000,0,1,0,1,0,0,1,0
2.0,8,396,280000,3240,0,1,0,1,0,0,1,0
1.0,6,600,540000,5000,0,1,0,1,0,0,1,0
1.0,3,566,700000,10000,0,1,0,1,0,0,1,0
1.0,6,858,525000,100000,1,0,0,1,0,0,1,0
1.0,5,595,430000,80000,1,0,0,1,0,0,1,0
1.0,19,463,65000,70000,0,1,0,1,0,0,1,0
1.0,3,1017,800000,35000,1,0,0,1,0,0,1,0
2.0,14,486,75000,114000,0,1,0,1,0,0,1,0
1.0,13,421,210000,53772,0,1,0,1,0,0,1,0
2.0,9,669,195000,140000,1,0,0,1,0,0,1,0
1.0,6,96,400000,120000,1,0,0,1,0,0,1,0
1.0,9,402,170000,60000,0,1,0,1,0,0,1,0
1.0,5,1154,225000,25000,0,1,0,1,0,0,1,0
1.0,7,1028,210000,90000,0,0,0,1,0,0,1,1
1.0,1,1034,240000,120000,0,1,0,1,0,0,1,0
1.0,6,65,300000,175000,1,0,0,1,0,0,1,0
3.0,10,85,99000,100000,0,1,0,1,0,0,1,0
1.0,7,325,620000,36000,0,1,0,1,0,0,1,0
1.0,8,279,500000,30000,1,0,0,1,0,0,1,0
2.0,11,613,2550000,40000,0,1,0,1,0,1,0,0
2.0,8,290,260000,70000,0,1,0,1,0,0,1,0
1.0,4,997,550000,60000,0,1,0,1,0,0,1,0
1.0,10,1244,150000,155500,1,0,0,1,0,0,1,0
2.0,10,550,350000,50000,0,1,0,1,0,1,0,0
1.0,5,56,320000,40000,0,1,0,1,0,0,1,0
3.0,6,993,400000,100000,1,0,0,1,0,0,1,0
3.0,9,814,175000,80000,0,1,0,1,0,0,1,0
2.0,10,56,120000,90000,0,1,0,1,0,0,1,0
2.0,8,1133,320000,90000,1,0,0,1,0,0,1,0
3.0,15,479,70000,110000,0,1,0,1,0,0,1,0
1.0,2,981,810000,15000,0,1,0,1,0,0,1,0
2.0,14,775,95000,100000,0,1,0,1,0,0,1,0
1.0,1,804,282000,40000,0,0,0,1,0,0,1,1
2.0,17,783,80000,60000,0,1,0,1,0,0,1,0
1.0,8,1280,72000,25000,0,1,0,1,0,0,1,0
1.0,5,600,600000,25000,0,1,0,1,0,0,1,0
1.0,6,1189,640000,23000,0,1,0,1,0,0,1,0
1.0,3,806,380000,22155,0,1,0,1,0,0,1,0
1.0,3,851,650000,70000,0,1,0,1,0,0,1,0
2.0,12,811,150000,60000,0,1,0,1,0,0,1,0
2.0,12,591,280000,110000,0,1,0,1,0,0,1,0
1.0,3,1301,430000,30000,0,1,0,1,0,0,1,0
1.0,2,637,800000,15000,1,0,0,1,0,0,1,0
2.0,18,1058,75000,100000,1,0,0,1,0,0,1,0
1.0,5,1477,650000,70000,1,0,0,1,0,1,0,0
1.0,4,872,390000,24000,0,1,0,1,0,0,1,0
2.0,16,300,100000,120000,0,1,0,1,0,0,1,0
1.0,8,1093,1500000,35000,1,0,0,1,0,1,0,0
1.0,14,949,175000,78380,0,1,0,1,0,0,1,0
2.0,9,1133,434999,110000,1,0,0,1,0,0,1,0
3.0,11,233,170000,90000,1,0,0,1,0,0,1,0
3.0,10,233,190000,90000,1,0,0,1,0,0,1,0
3.0,12,973,250000,150000,1,0,0,1,0,0,1,0
3.0,12,764,229999,230000,1,0,0,1,0,0,1,0
3.0,15,898,140000,70000,0,1,0,1,0,0,1,0
1.0,4,993,600000,80362,1,0,0,1,0,0,1,0
3.0,9,572,280000,110000,0,1,0,1,0,0,1,0
1.0,9,52,150000,60000,1,0,0,1,0,0,1,0
1.0,6,64,650000,50000,1,0,0,1,0,1,0,0
2.0,7,1111,210000,40000,0,1,0,1,0,0,1,0
1.0,4,30,2900000,40000,1,0,0,1,0,1,0,0
1.0,8,65,425000,20000,1,0,1,0,0,0,1,0
1.0,7,397,265000,55000,0,1,1,0,0,0,1,0
1.0,3,136,890000,1136,0,1,1,0,0,0,1,0
1.0,8,1164,365000,55000,0,1,1,0,0,0,1,0
1.0,7,237,350000,43000,0,1,1,0,0,0,1,0
1.0,5,865,685000,60000,1,0,0,1,0,0,1,0
1.0,3,1184,940000,2650,1,0,1,0,0,0,1,0
1.0,4,751,1000000,40000,1,0,0,1,0,0,1,0
1.0,2,736,1150000,15000,0,1,1,0,0,0,1,0
2.0,5,881,450000,115962,1,0,0,1,0,0,1,0
1.0,6,1119,590000,65000,1,0,1,0,0,0,1,0
1.0,4,933,800000,40000,1,0,0,1,0,0,1,0
1.0,9,602,385000,58000,1,0,1,0,0,0,1,0
1.0,8,1095,2000000,15000,1,0,0,1,0,1,0,0
1.0,9,396,235000,54000,0,1,1,0,0,0,1,0
1.0,4,1436,640000,56000,1,0,1,0,0,0,1,0
3.0,15,811,52000,120000,0,1,0,1,0,0,1,0
2.0,12,920,80000,90000,0,0,0,1,0,0,1,1
2.0,9,811,140000,70000,0,1,0,1,0,0,1,0
2.0,13,536,120000,90000,0,1,0,1,0,0,1,0
1.0,13,672,89999,213000,1,0,0,1,0,0,1,0
1.0,9,73,180000,120000,1,0,0,1,0,0,1,0
1.0,4,691,1500000,20000,1,0,0,1,0,0,1,0
1.0,4,585,700000,10000,0,1,0,1,0,0,1,0
2.0,9,937,285000,80000,1,0,0,1,0,0,1,0
1.0,6,448,390000,90000,0,1,0,1,0,0,1,0
1.0,13,816,125000,80000,0,1,0,1,0,0,1,0
2.0,13,949,225000,60000,0,1,0,1,0,0,1,0
2.0,10,551,175000,139000,0,1,0,1,0,0,1,0
2.0,10,1413,1075000,160000,1,0,0,1,0,0,1,0
1.0,7,360,300000,150000,1,0,0,1,0,0,1,0
4.0,11,1399,700000,163000,1,0,0,1,0,0,1,0
1.0,12,1222,90000,120000,1,0,1,0,0,0,1,0
2.0,10,1238,120000,120000,1,0,0,1,0,0,1,0
2.0,9,51,220000,100000,1,0,0,1,0,0,1,0
1.0,6,1341,300000,140000,1,0,1,0,0,0,1,0
2.0,11,1168,180000,87000,1,0,1,0,0,0,1,0
1.0,8,782,170000,70000,0,1,0,1,0,0,1,0
2.0,6,237,300000,50000,0,1,0,1,0,0,1,0
1.0,7,1417,1050000,70000,1,0,0,1,0,0,1,0
1.0,7,360,300000,150000,1,0,0,1,0,0,1,0
1.0,3,429,465000,25000,1,0,0,1,0,0,1,0
2.0,10,52,130000,80000,1,0,0,1,0,0,1,0
1.0,3,109,434999,10000,0,1,0,1,0,0,1,0
1.0,3,432,500000,32000,0,1,0,1,0,0,1,0
1.0,3,922,200000,10000,0,1,0,1,0,0,1,0
1.0,4,820,625000,52000,0,1,1,0,0,0,1,0
3.0,15,206,110000,120000,1,0,0,1,0,0,1,0
1.0,2,410,800000,11240,0,1,0,1,0,0,1,0
1.0,4,446,490000,66000,1,0,1,0,0,0,1,0
1.0,4,881,880000,64000,1,0,1,0,0,0,1,0
1.0,8,474,290000,49000,0,1,0,1,0,0,1,0
2.0,15,1311,115999,100000,1,0,0,1,0,0,1,0
1.0,3,1154,360000,26500,0,1,0,1,0,0,1,0
2.0,19,775,65000,100000,0,1,0,1,0,0,1,0
1.0,4,1016,685000,72000,1,0,1,0,0,0,1,0
1.0,12,351,300000,50000,0,1,0,1,0,0,1,0
1.0,4,581,680000,44000,1,0,1,0,0,0,1,0
2.0,4,882,1000000,60000,1,0,0,1,0,0,1,0
1.0,19,1316,100000,120000,1,0,0,1,0,0,1,0
1.0,11,764,160000,130000,1,0,0,1,0,0,1,0
1.0,4,1009,450000,70000,1,0,0,1,0,0,1,0
1.0,7,885,600000,20000,0,1,0,1,0,0,1,0
2.0,12,579,180000,60000,1,0,0,1,0,0,1,0
1.0,14,814,100000,195000,0,1,0,1,0,0,1,0
2.0,11,814,120000,90000,0,1,0,1,0,0,1,0
3.0,15,424,130000,80000,0,1,0,1,0,0,1,0
1.0,10,1031,160000,155000,0,1,0,1,0,0,1,0
1.0,2,637,860000,35000,1,0,0,1,0,0,1,0
2.0,3,573,650000,20000,0,1,0,1,0,0,1,0
2.0,11,1041,100000,80000,0,1,0,1,0,0,1,0
1.0,4,799,282000,20000,0,1,0,1,0,0,1,0
1.0,12,592,300000,50000,0,1,0,1,0,0,1,0
2.0,11,591,270000,110000,0,1,0,1,0,0,1,0
1.0,8,506,550000,29000,1,0,0,1,0,0,1,0
1.0,8,760,450000,120000,1,0,0,1,0,0,1,0
2.0,10,643,430000,70000,1,0,0,1,0,0,1,0
1.0,8,886,350000,40000,0,1,0,1,0,0,1,0
1.0,4,286,350000,20000,0,1,0,1,0,0,1,0
2.0,8,1376,229999,50000,0,1,0,1,0,0,1,0
1.0,8,793,110000,50000,0,1,0,1,0,0,1,0
2.0,9,958,395000,49000,0,1,0,1,0,0,1,0
2.0,10,704,650000,70000,1,0,0,1,0,1,0,0
2.0,10,641,350000,90000,1,0,0,1,0,0,1,0
1.0,1,748,1400000,25000,1,0,1,0,0,0,1,0
1.0,3,1326,360000,4000,0,1,0,1,0,0,1,0
1.0,3,665,1300000,10000,1,0,0,1,0,0,1,0
1.0,6,1132,800000,15000,1,0,0,1,0,0,1,0
1.0,3,402,229999,30000,0,1,0,1,0,0,1,0
1.0,7,1045,315000,41000,0,1,1,0,0,0,1,0
1.0,9,86,125000,28000,0,1,0,1,0,0,1,0
1.0,2,819,700000,16000,0,1,0,1,0,0,1,0
1.0,6,392,160000,70000,0,1,0,1,0,0,1,0
1.0,4,222,530000,10832,0,1,1,0,0,0,1,0
1.0,3,228,624000,14681,1,0,1,0,0,0,1,0
1.0,12,551,250000,50000,0,1,0,1,0,0,1,0
1.0,5,641,585000,51000,1,0,1,0,0,0,1,0
1.0,6,500,500000,25000,0,1,0,1,0,0,1,0
1.0,7,76,350000,30000,0,1,0,1,0,0,1,0
1.0,7,328,495000,80000,1,0,1,0,0,0,1,0
1.0,4,432,500000,50000,0,1,0,1,0,0,1,0
1.0,6,634,430000,200000,1,0,0,1,0,0,1,0
1.0,8,439,345000,44000,0,1,1,0,0,0,1,0
1.0,6,828,500000,10000,0,1,0,1,0,0,1,0
1.0,2,1326,425000,19600,0,1,0,1,0,0,1,0
2.0,16,1034,80000,40000,0,1,0,1,0,0,1,0
1.0,10,51,106000,50000,1,0,0,1,0,0,1,0
1.0,12,788,180000,46730,0,1,0,1,0,0,1,0
2.0,6,101,250000,40000,0,1,0,1,0,0,1,0
1.0,10,1200,350000,80000,1,0,0,1,0,0,1,0
2.0,19,1074,60000,80000,0,1,0,1,0,0,1,0
1.0,3,519,900000,24000,1,0,0,1,0,0,1,0
1.0,4,148,700000,21170,1,0,1,0,0,0,1,0
1.0,8,27,2000000,167223,1,0,1,0,0,1,0,0
1.0,4,882,1000000,40000,1,0,0,1,0,0,1,0
1.0,10,35,1375000,60000,1,0,0,1,0,1,0,0
1.0,5,1425,1800000,141440,1,0,1,0,0,0,1,0
3.0,14,94,160000,120000,1,0,0,1,0,0,1,0
1.0,9,1099,525000,140000,0,1,0,1,0,1,0,0
1.0,9,755,850000,212814,1,0,1,0,0,0,1,0
1.0,2,821,800000,30000,1,0,0,1,0,0,1,0
1.0,4,224,700000,88635,1,0,1,0,0,0,1,0
1.0,3,971,800000,25000,1,0,0,1,0,0,1,0
2.0,4,573,575000,20000,0,1,0,1,0,0,1,0
2.0,9,1133,350000,110000,1,0,0,1,0,0,1,0
3.0,13,1005,250000,120000,1,0,0,1,0,0,1,0
2.0,10,190,600000,149674,1,0,1,0,0,0,1,0
3.0,14,683,370000,100000,1,0,0,1,0,0,1,0
3.0,15,829,80000,120000,0,1,0,1,0,0,1,0
2.0,18,1218,50000,120000,1,0,0,1,0,0,1,0
1.0,3,519,900000,25000,1,0,0,1,0,0,1,0
2.0,7,1048,300000,35000,0,1,0,1,0,0,1,0
1.0,19,1220,125000,40000,0,1,0,1,0,0,1,0
2.0,6,971,490000,60000,1,0,0,1,0,0,1,0
2.0,9,1377,300000,50000,1,0,0,1,0,0,1,0
4.0,8,1284,55000,25000,0,1,0,1,0,0,1,0
1.0,5,453,350000,25000,0,1,0,1,0,0,1,0
1.0,2,429,755000,8000,1,0,0,1,0,0,1,0
1.0,4,880,720000,60000,1,0,0,1,0,0,1,0
3.0,15,641,229999,200000,1,0,0,1,0,0,1,0
1.0,3,697,1100000,20000,1,0,0,1,0,0,1,0
1.0,8,1464,400000,100000,0,1,0,1,0,0,1,0
2.0,6,537,350000,70000,1,0,0,1,0,0,1,0
1.0,9,54,159000,68000,1,0,1,0,0,0,1,0
1.0,4,1014,550000,38000,0,1,1,0,0,0,1,0
1.0,8,928,335000,80000,1,0,1,0,0,0,1,0
1.0,7,1245,185000,72000,0,0,1,0,0,0,1,1
1.0,9,869,229999,75000,0,0,1,0,0,0,1,1
1.0,7,899,225000,43000,0,1,1,0,0,0,1,0
2.0,14,1003,250000,120000,0,1,0,1,0,0,1,0
1.0,6,1342,400000,100000,1,0,0,1,0,0,1,0
1.0,7,993,470000,163000,1,0,0,1,0,0,1,0
1.0,3,808,300000,25000,0,1,0,1,0,1,0,0
1.0,10,811,145000,25000,0,1,0,1,0,0,1,0
2.0,14,942,100000,90000,0,1,0,1,0,0,1,0
2.0,7,701,500000,70000,1,0,0,1,0,0,1,0
2.0,11,478,130000,98000,0,0,0,1,0,0,1,1
1.0,11,63,240000,81925,1,0,0,1,0,0,1,0
2.0,8,230,150000,80000,1,0,0,1,0,0,1,0
1.0,4,1156,270000,40000,0,1,0,1,0,0,1,0
1.0,7,971,400000,90000,1,0,0,1,0,0,1,0
1.0,9,396,200000,46000,0,1,0,1,0,0,1,0
1.0,9,751,550000,80000,1,0,0,1,0,0,1,0
1.0,3,1146,325000,35000,0,1,0,1,0,0,1,0
1.0,4,1182,860000,82080,1,0,0,1,0,1,0,0
1.0,9,755,600000,200000,1,0,0,1,0,0,1,0
1.0,12,84,125000,70000,0,1,0,1,0,0,1,0
3.0,21,775,60000,40000,0,1,0,1,0,0,1,0
3.0,11,94,300000,120000,1,0,0,1,0,0,1,0
3.0,14,203,190000,60000,0,1,0,1,0,0,1,0
1.0,8,883,400000,110000,1,0,0,1,0,0,1,0
2.0,10,1267,260000,97000,1,0,0,1,0,0,1,0
1.0,4,996,400000,30000,0,1,0,1,0,0,1,0
1.0,11,608,250000,40000,0,1,0,1,0,0,1,0
1.0,2,432,600000,10000,0,1,0,1,0,0,1,0
1.0,11,1069,175000,52047,0,1,0,1,0,0,1,0
3.0,10,1401,450000,200000,1,0,0,1,0,0,1,0
2.0,2,1327,350000,15000,0,1,0,1,0,1,0,0
1.0,3,1019,800000,50000,1,0,0,1,0,0,1,0
2.0,10,999,250000,70000,0,1,0,1,0,0,1,0
1.0,2,1000,600000,10000,0,1,0,1,0,0,1,0
1.0,4,993,600000,90000,1,0,0,1,0,0,1,0
1.0,5,793,130000,40000,0,1,0,1,0,0,1,0
2.0,15,1034,90000,62009,0,1,0,1,0,0,1,0
2.0,4,584,595000,33100,0,1,0,1,0,0,1,0
2.0,7,396,190000,40000,0,1,0,1,0,0,1,0
2.0,22,460,50000,120000,0,1,0,1,0,0,1,0
1.0,14,1041,95000,80000,0,1,0,1,0,0,1,0
1.0,5,1308,1000000,70000,1,0,0,1,0,0,1,0
2.0,15,689,220000,220000,0,1,0,1,0,0,1,0
1.0,11,641,400000,50000,1,0,0,1,0,0,1,0
2.0,6,102,315000,45000,0,1,0,1,0,0,1,0
1.0,7,1391,1000000,110000,1,0,0,1,0,0,1,0
1.0,7,170,500000,49000,1,0,0,1,0,0,1,0
1.0,3,746,1600000,35000,1,0,0,1,0,1,0,0
1.0,4,713,500000,160000,1,0,0,1,0,0,1,0
3.0,14,811,70000,180000,0,1,0,1,0,0,1,0
2.0,14,775,105000,60000,0,1,0,1,0,0,1,0
3.0,13,184,400000,110000,1,0,0,1,0,0,1,0
3.0,17,1034,80000,60000,0,1,0,1,0,0,1,0
1.0,5,799,300000,30000,0,1,0,1,0,0,1,0
1.0,4,652,409999,40000,1,0,0,1,0,0,1,0
1.0,12,982,250000,70000,0,1,0,1,0,0,1,0
2.0,11,1294,250000,120000,1,0,0,1,0,0,1,0
3.0,9,971,215000,80000,1,0,0,1,0,0,1,0
1.0,6,1391,1400000,120000,1,0,0,1,0,0,1,0
1.0,3,289,475000,20000,0,1,0,1,0,0,1,0
1.0,3,289,475000,22000,0,1,0,1,0,0,1,0
2.0,13,85,75000,35000,0,1,0,1,0,0,1,0
2.0,8,81,200000,120000,1,0,0,1,0,0,1,0
1.0,2,1330,575000,8000,0,1,0,1,0,0,1,0
2.0,10,928,150000,40000,1,0,0,1,0,0,1,0
1.0,3,1020,850000,10000,1,0,0,1,0,0,1,0
1.0,2,459,350000,30000,0,1,0,1,0,0,1,0
2.0,10,184,550000,54000,1,0,0,1,0,0,1,0
1.0,4,500,330000,80577,0,1,0,1,0,0,1,0
1.0,4,329,1044999,25000,1,0,0,1,0,0,1,0
2.0,10,501,300000,127500,1,0,0,1,0,0,1,0
1.0,6,394,235000,40903,0,1,1,0,0,0,1,0
3.0,10,237,120000,60000,0,1,0,1,0,0,1,0
1.0,17,1045,130000,46000,0,1,0,1,0,0,1,0
2.0,17,188,275000,22288,1,0,1,0,0,0,1,0
2.0,10,1446,270000,180000,1,0,0,1,0,0,1,0
2.0,6,1456,500000,30000,1,0,0,1,0,0,1,0
1.0,6,453,400000,61690,0,1,1,0,0,0,1,0
1.0,6,594,600000,64484,0,1,1,0,0,0,1,0
2.0,9,20,1350000,90000,1,0,0,1,0,1,0,0
2.0,8,1136,400000,75976,1,0,1,0,0,0,1,0
2.0,10,233,220000,70000,1,0,0,1,0,0,1,0
2.0,9,290,300000,85962,0,1,1,0,0,0,1,0
1.0,3,919,250000,120000,0,1,0,1,0,0,1,0
1.0,6,360,600000,120000,1,0,0,1,0,0,1,0
2.0,9,293,285000,75000,0,1,0,1,0,1,0,0
1.0,12,257,350000,57035,0,1,1,0,0,0,1,0
3.0,10,641,170000,70000,1,0,0,1,0,0,1,0
1.0,6,212,229999,45000,0,1,0,1,0,0,1,0
2.0,8,751,500000,72104,1,0,1,0,0,0,1,0
1.0,10,1281,75000,15000,0,1,0,1,0,0,1,0
1.0,5,585,600000,30000,0,1,0,1,0,0,1,0
1.0,10,1259,220000,80000,1,0,0,1,0,0,1,0
2.0,12,1240,150000,164000,1,0,0,1,0,0,1,0
2.0,15,811,65000,124439,0,1,0,1,0,0,1,0
2.0,15,1076,120000,77000,0,1,0,1,0,0,1,0
1.0,7,971,240000,90000,1,0,0,1,0,0,1,0
1.0,4,1146,390000,30000,0,1,0,1,0,0,1,0
1.0,9,55,180000,50000,0,1,0,1,0,0,1,0
2.0,9,992,320000,80000,1,0,0,1,0,0,1,0
1.0,3,793,310000,5000,0,1,0,1,0,0,1,0
1.0,3,1024,420000,24000,0,1,0,1,0,1,0,0
1.0,2,1330,550000,10000,0,1,0,1,0,0,1,0
